,Points,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,score
0,"(-96.34286501425183, 30.708500600422855)",0.18678627737055672,3.1547467445771096,5.53263028342783,1.1031719651862908,0.035560991778545346,0.06863753970287177,0.07328863098150955,0.051514134147647286,0.9476696777686522
1,"(-96.33911473663292, 30.705343728214203)",0.36786418808109617,2.874726556148666,5.30449324691207,1.1803256794570216,0.07029141065595934,0.06253038778739786,0.07025036084939916,0.05513328089114368,0.9373281508043353
2,"(-96.26616221986039, 30.77694856180725)",0.2589852217600109,8.396123258570483,11.058727714225554,7.658815219917964,0.049408619969712214,0.18295030692441944,0.14688376935775851,0.35902797403399106,0.7902877860748302
3,"(-96.32041348820138, 30.698970103716718)",0.2700250514481257,2.2984509145855236,4.956855476614699,2.0073356297646257,0.0515260395262944,0.04996199795820293,0.06562061080784905,0.09392688139094926,0.9304169749133067
4,"(-96.2462025837631, 30.75776059098929)",0.5060686919760873,7.846512884932437,10.346110713447207,7.33040047312835,0.0967987869128628,0.1709634781712288,0.1373933201866553,0.3436226086203556,0.7855792928250876
5,"(-96.27981129061894, 30.72316301151713)",0.1630118328481029,4.747059830363662,7.3511540599792955,4.422287756963596,0.031001095910503373,0.10336538545739499,0.0975072609734321,0.2072080916277387,0.8773926313869314
6,"(-96.31666265116027, 30.737683193386438)",0.2002151849584769,4.9746204103985665,7.622292912665102,3.6274738307422156,0.038136632196332676,0.10832840987376365,0.10111821818735671,0.16992475070294616,0.8888116062664333
7,"(-96.29225037576123, 30.748096380100364)",0.3009711446759256,5.97781111476884,8.658285540446931,5.165606669327617,0.05746144476817982,0.13020768245823353,0.11491530044172646,0.24207589088393186,0.848398143680154
8,"(-96.26988058849955, 30.74651343861395)",1.037981728689331,6.426358562849411,9.053908584785738,6.133888971373381,0.19881875444462324,0.13999036070761342,0.12018410596996057,0.28749633205592007,0.7853393581057263
9,"(-96.2966348224312, 30.70192293025058)",0.36307269622785476,2.974322100340666,5.595677487027155,2.74554503386846,0.06937241110235391,0.06470253516683679,0.07412827735605022,0.1285550024883459,0.9074129409049831
10,"(-96.2593925041008, 30.735415641973127)",0.5049423784706552,6.146589582156735,8.630520376192997,5.6064200476675525,0.09658276200028537,0.13388868755355768,0.11454553115501076,0.2627536809007612,0.8276914084133973
11,"(-96.30074202032259, 30.717805254309212)",0.37397835410759733,3.842329509346482,6.518637358799488,3.618979220912043,0.07146409674645597,0.08363350275280443,0.08642001855848581,0.16952628330841132,0.8853815552462893
12,"(-96.26021402941342, 30.774100595763937)",0.4291653520065973,8.371726135424144,11.018608542569847,7.780430245197977,0.08204886407726038,0.18241821337005312,0.1463494725910951,0.3647327236609233,0.7783736613793324
13,"(-96.35402568585259, 30.693087334759728)",0.04659294547227736,2.592037466303378,4.565268421583158,0.3949282622638921,0.008672161873550337,0.05636502797451638,0.06040555554284735,0.018291652051204383,0.9727681294682651
14,"(-96.35216232697995, 30.69404434202333)",0.10985845710100788,2.5757530583517614,4.608283457711455,0.42526688667853524,0.020806373665247523,0.05600987017760101,0.060978418684651266,0.01971478423337166,0.9685723583030917
15,"(-96.35399156157924, 30.698290478181406)",0.17652220504550722,2.870376321865476,4.916025428624932,0.19328979080283562,0.03359236109444781,0.062435510550922696,0.06507684677376434,0.008833141540729632,0.9673942482678128
16,"(-96.3288709066042, 30.738061615669544)",0.25800140718806364,4.9908316946956575,7.569826175226381,3.2123250268265986,0.04921992609729366,0.10868197286685681,0.10041947972856057,0.1504508413006659,0.8932753431043182
17,"(-96.37321233543861, 30.715148045090064)",0.12941873869357273,4.3691128588754236,6.340243801453351,1.4942561171997955,0.024558000632911716,0.09512248131599665,0.08404421923487074,0.06985921252230785,0.937259996614517
18,"(-96.34438709614085, 30.69645147472116)",0.12525484512249252,2.4422369834016324,4.7121151980225005,0.7764917921876029,0.023759373305497062,0.05309792673004274,0.06236122298582969,0.036190134578107956,0.9615404265325161
19,"(-96.38117060530075, 30.74643135943766)",0.10296615203454844,6.520892037161236,8.534906934402278,3.0105277295688553,0.019484441900904904,0.14205210594091253,0.11327217603101294,0.1409848805479015,0.898023076419284
20,"(-96.35182529847458, 30.73504470461973)",1.0319096398985619,5.055451699918586,7.401131089982527,2.545548219503185,0.19765413869255963,0.11009131478213086,0.098172842151611,0.11917349926116651,0.8611988115161783
21,"(-96.35112907594268, 30.75177164069589)",0.3092068234746932,6.1442124721519935,8.543424193778455,3.6953022796238426,0.059041033207756326,0.1338368435347381,0.11338560669166013,0.1731064654422387,0.874939174484664
22,"(-96.35860240076153, 30.713805328404277)",0.405773222950013,3.9029445208145925,6.018012669428207,1.065058609004445,0.07756229563066291,0.08495549701854481,0.07975282824014075,0.049726302800666054,0.9318744079628116
23,"(-96.36683833544356, 30.736074359513612)",0.554236962442067,5.478180596576711,7.621539587486961,2.6581815891256952,0.10603737489590095,0.1193108985751457,0.10110818559719306,0.12445693501965693,0.8844330152486185
24,"(-96.3426611304862, 30.730396197156317)",0.4973202901853432,4.591952735637955,7.037564998314281,2.369392459405824,0.09512085912195652,0.09998254868418226,0.09333096283979907,0.1109103384849088,0.8977700008486331
25,"(-96.37806252974197, 30.73570086420959)",0.10058244883616468,5.798655098589569,7.774440837560755,2.853565562562081,0.019027251897803764,0.12630034629965686,0.10314448495636994,0.13362205788998824,0.9052684835190953
