Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-95.63801421768197, 30.91867499101963)",483130000000.0,0.059851547,0.274137119,0.24751363,0.734485161,0.67842085,0.408140283,0.700848803,0.650807518,3525,1.333333333,0.3775706940874036,0.0,0.33771594549346146
"(-95.65734540823505, 30.948161016459952)",483130000000.0,0.036090123,0.25383671,0.224189992,0.729784315,0.408988198,0.377904136,0.6347863,0.64663973,3525,1.333333333,0.3775706940874036,0.0,0.43706821375433097
"(-95.65981958090133, 30.927498195058188)",483130000000.0,0.036338791,0.251743113,0.22444448,0.718420367,0.411807854,0.37478586,0.635507118,0.636564412,3525,1.333333333,0.3775706940874036,0.0,0.43969615958041797
"(-95.6622346249456, 31.059044269299157)",483130000000.0,0.041628451,0.274838045,0.237013557,0.782246217,0.471787734,0.409184268,0.671108112,0.693152648,3525,1.333333333,0.3775706940874036,0.0,0.3961072756673745
"(-95.66942256328974, 30.967222116037302)",483130000000.0,0.034226648,0.242961062,0.211303639,0.728006795,0.387858107,0.361705562,0.598286643,0.645063774,3525,1.333333333,0.3775706940874036,0.0,0.44725719666737446
"(-95.67002028252085, 30.95162670719328)",483130000000.0,0.024741375,0.241272082,0.211280048,0.720111841,0.28030385,0.359189935,0.598219825,0.638064079,3525,1.333333333,0.3775706940874036,0.0,0.487214329754331
"(-95.6756110816741, 30.962295109606558)",483130000000.0,0.026416361,0.236341117,0.205173561,0.720213163,0.29929665,0.351845582,0.580923646,0.638153912,3525,1.333333333,0.3775706940874036,0.0,0.4816482196673744
"(-95.68028946252274, 30.97295997916237)",483130000000.0,0.032534696,0.232835457,0.200519716,0.721307777,0.368672924,0.346624127,0.567741967,0.639124401,3525,1.333333333,0.3775706940874036,0.0,0.4579799166238962
"(-95.68105093040091, 30.985503290288918)",483130000000.0,0.020056088,0.234059802,0.200513142,0.72691712,0.227177003,0.348447711,0.567723349,0.644097665,3525,1.333333333,0.3775706940874036,0.0,0.505387581406505
"(-95.68291644686903, 30.95109211287634)",483130000000.0,0.013301225,0.228364921,0.198463855,0.708462732,0.150583082,0.339965553,0.56191889,0.627735935,3525,1.333333333,0.3775706940874036,0.0,0.5383411390152005
"(-95.68563382070012, 31.347464082717426)",482900000000.0,0.011268158,0.463546498,0.312371686,0.959283066,0.127529978,0.690253311,0.88455452,0.85011418,2435,7.666666667,0.26081833761782347,0.775510204131612,0.4531661938957785
"(-95.6877503931866, 30.96211628196934)",483130000000.0,0.020411926,0.224231219,0.193042544,0.709493782,0.23121188,0.333808671,0.546563424,0.628650068,3525,1.333333333,0.3775706940874036,0.0,0.5109136998847659
